date,title,type,description,link
2024-12-19,"Investments in climate adaptation should be an integral part of the trans-European transport network, study shows",News article,A new study that shows how all transport modes on the TEN-T network will be exposed to significantly more climate extremes in the future.,https://transport.ec.europa.eu/news-events/news/investments-climate-adaptation-should-be-integral-part-trans-european-transport-network-study-shows-2024-12-19_en
2024-12-18,EU introduces Flight Emissions Label for more informed and sustainable travelling,News article,"The Commission adopted a Regulation putting in place a Flight Emissions Label (FEL), which offers a clear and trustworthy methodology for calculating flight emissions.",https://transport.ec.europa.eu/news-events/news/eu-introduces-flight-emissions-label-more-informed-and-sustainable-travelling-2024-12-18_en
2024-12-18,Solidarity Lanes: Latest figures – November 2024,News article,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,https://transport.ec.europa.eu/news-events/news/solidarity-lanes-latest-figures-november-2024-2024-12-18_en
2024-12-17,New study published on Greening of European sea ports,News article,New study published on Greening of European sea ports,https://transport.ec.europa.eu/news-events/news/new-study-published-greening-european-sea-ports-2024-12-17_en
2024-12-17,December infringements package: key decisions,News article,December infringements package: key decisions,https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/inf_24_6006
2024-12-16,New rules for better cross-border enforcement of traffic laws,News article,The Commission welcomes the European Parliament and Council's final adoption of the Directive to strengthen cross-border enforcement of road traffic rules.,https://transport.ec.europa.eu/news-events/news/new-rules-better-cross-border-enforcement-traffic-laws-2024-12-16_en
2024-12-16,Transforming cross-border traffic in Central Europe with ITS,News article,"Intelligent Transport Systems (ITS) are designed to monitor, evaluate, and manage transportation networks to improve safety and efficiency.",https://transport.ec.europa.euhttps://cinea.ec.europa.eu/featured-projects/transforming-cross-border-traffic-central-europe-its_en
2024-12-13,Commission updates EU Air Safety List and adds Air Tanzania to the airlines banned within the European Union,News article,"The Commission updated the EU Air Safety List, the list of airlines that are subject to an operating ban or operational restrictions within the European Union, because they do not meet international safety standards.",https://transport.ec.europa.eu/news-events/news/commission-updates-eu-air-safety-list-and-adds-air-tanzania-airlines-banned-within-european-union-2024-12-13_en
2024-12-12,Commission welcomes the updated European ATM Master Plan,News article,"The Commission welcomes the updated European air traffic management (ATM) Master Plan, adopted at the Governing Board meeting of the SESAR 3 Joint Undertaking.",https://transport.ec.europa.eu/news-events/news/commission-welcomes-updated-european-atm-master-plan-2024-12-12_en
2024-12-02,"Single European Sky Regulation enters into force, aiming for a more efficient and sustainable airspace",News article,"The new Single European Sky (SES2+) Regulation entered into force, in a step forward towards a more efficient, and more sustainable European airspace.",https://transport.ec.europa.eu/news-events/news/single-european-sky-regulation-enters-force-aiming-more-efficient-and-sustainable-airspace-2024-12-02_en
2024-11-20,Coordinated Romania-Moldova border controls to facilitate EU-Ukraine Solidarity Lanes transit,News article,"A Memorandum of Understanding on coordinated border checks at the Galați-Giurgiulești crossing between Romania and Moldova was signed today, paving the way for a faster transit of goods along the EU-Ukraine Solidarity Lanes.",https://transport.ec.europa.eu/news-events/news/coordinated-romania-moldova-border-controls-facilitate-eu-ukraine-solidarity-lanes-transit-2024-11-20_en
2024-11-20,Solidarity Lanes: Latest figures – October 2024,News article,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,https://transport.ec.europa.eu/news-events/news/solidarity-lanes-latest-figures-october-2024-2024-11-20_en
